AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,OrgMatter
TX021,"5",WgC,"393401","393401",1.00000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",BaB,"393272","393272",0.62000000000
TX021,"5",BuB,"393278","393278",0.79000000000
TX021,"5",WgC,"393401","393401",1.00000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",BuB,"393278","393278",0.79000000000
TX021,"5",HoA,"393300","393300",1.69000000000
TX021,"5",Tr,"393322","393322",1.63000000000
TX021,"5",BeC2,"393275","393275",1.07000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",HeC2,"393298","393298",1.02000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",ChE,"393281","393281",0.38000000000
TX021,"5",WgB,"393327","393327",1.00000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",HeB,"393297","393297",0.98000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",KrA,"393303","393303",1.39000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",Gs,"393296","393296",1.49000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",BaC2,"393273","393273",0.65000000000
TX021,"5",No,"393313","393313",2.50000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",HoB,"393301","393301",1.69000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",Sg,"393317","393317",1.14000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",HeB,"393297","393297",0.98000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",Dm,"393328","393328",0.34000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",Dm,"393328","393328",0.34000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",Ls,"393304","393304",0.48000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",FeF2,"393294","393294",0.39000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",Sg,"393317","393317",1.14000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",Sm,"393319","393319",0.87000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",SeD2,"393316","393316",0.45000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",DoD,"393289","393289",0.74000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",Sm,"393319","393319",0.87000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",Lw,"393305","393305",0.51000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",DoD,"393289","393289",0.74000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",BeC2,"393275","393275",1.07000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",HoB,"393301","393301",1.69000000000
TX021,"5",HoB,"393301","393301",1.69000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",Sm,"393319","393319",0.87000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",FeF2,"393294","393294",0.39000000000
TX021,"5",WgC,"393401","393401",1.00000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",BuB,"393278","393278",0.79000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",Sg,"393317","393317",1.14000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",AfA,"393266","393266",0.35000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",HeC2,"393298","393298",1.02000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",Nd,"393309","393309",2.50000000000
TX021,"5",Sm,"393319","393319",0.87000000000
TX021,"5",WsA,"393329","393329",0.72000000000
TX021,"5",WgB,"393327","393327",1.00000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",Nd,"393309","393309",2.50000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",MaA,"393306","393306",1.38000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",JeF,"393302","393302",0.83000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfA,"393266","393266",0.35000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",BaA,"393271","393271",0.65000000000
TX021,"5",WgB,"393327","393327",1.00000000000
TX021,"5",CgC,"393280","393280",0.44000000000
TX021,"5",BaB,"393272","393272",0.62000000000
TX021,"5",HeB,"393297","393297",0.98000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",Bo,"393277","393277",1.31000000000
TX021,"5",Ls,"393304","393304",0.48000000000
TX021,"5",WgB,"393327","393327",1.00000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",Tw,"393323","393323",1.46000000000
TX021,"5",HeB,"393297","393297",0.98000000000
TX021,"5",Uh,"393324","393324",0.76000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",HeB,"393297","393297",0.98000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",No,"393313","393313",2.50000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",TfA,"393320","393320",0.55000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",WsB,"393330","393330",0.72000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",BeB,"393274","393274",1.07000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",Sa,"393314","393314",0.55000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",RoD,"393312","393312",0.42000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",MaB,"393307","393307",1.38000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",AtD,"393399","393399",0.52000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",W,"393326","393326",0.00000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",RoB,"393311","393311",0.42000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC,"393291","393291",0.57000000000
TX021,"5",TfB,"393321","393321",0.46000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",DoD,"393289","393289",0.74000000000
TX021,"5",CsC2,"393283","393283",0.44000000000
TX021,"5",AfE2,"393293","393293",0.55000000000
TX021,"5",CsD3,"393284","393284",0.39000000000
TX021,"5",FeF2,"393294","393294",0.39000000000
TX021,"5",PaE,"393400","393400",0.33000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",Gs,"393296","393296",1.49000000000
TX021,"5",DeC,"393308","393308",0.33000000000
TX021,"5",SkC,"393318","393318",0.62000000000
TX021,"5",CfB,"393279","393279",0.44000000000
TX021,"5",AfC2,"393292","393292",0.55000000000
TX021,"5",JeF,"393302","393302",0.83000000000
